"refinement_rank","paper_id","refined_status","refinement_score","priority","title","publication","year","category","collections","duplicate_group","pdf_path"
"150","P1409","completed_refined","77","65","Does Employing Skilled Immigrants Enhance Competitive Performance? Evidence from European Football Clubs","","","实证","Empirical","","[local PDF path not bundled; paper_id=P1409]"
"151","P0955","completed_refined","76","73","Why Is Pollution from US Manufacturing Declining? The Roles of Environmental Regulation, Productivity, and Trade","American Economic Review","2018","混合方法","IO","","[local PDF path not bundled; paper_id=P0955]"
"152","P0966","completed_refined","76","62","Scalable Price Targeting","SSRN Electronic Journal","2017","实证","IO","DUP009","[local PDF path not bundled; paper_id=P0966]"
"153","P1399","completed_refined","76","57","How state and market logics influence firm strategy from within and outside? Evidence from Chinese financial intermediary firms","Asia Pacific Journal of Management","2022","实证","Logic","","[local PDF path not bundled; paper_id=P1399]"
"154","P1997","completed_refined","76","57","Blue sky defense in low-carbon pilot cities: a spatial spillover perspective of carbon emission efficiency","Science of The Total Environment","2022","实证","Climate","","[local PDF path not bundled; paper_id=P1997]"
"155","P0975","completed_refined","74","72","Understanding the Price Effects of the MillerCoors Joint Venture","Econometrica","2017","混合方法","IO","","[local PDF path not bundled; paper_id=P0975]"
"156","P1035","completed_refined","74","58","Process Flexibility: A Distribution-Free Approach to Long Chain Resilience","SSRN Electronic Journal","2023","算法/优化/运筹模型","Model","","[local PDF path not bundled; paper_id=P1035]"
"157","P1145","completed_refined","74","56","Reallocation Effects of the Minimum Wage","The Quarterly Journal of Economics","2021","实证","Economics","","[local PDF path not bundled; paper_id=P1145]"
"158","P1470","completed_refined","74","52","Institutional Logics","","2017","博弈论/理论模型","Logic","","[local PDF path not bundled; paper_id=P1470]"
"159","P0989","completed_refined","72","55","Watering Down Environmental Regulation in China*","The Quarterly Journal of Economics","2020","实证","Economics","","[local PDF path not bundled; paper_id=P0989]"
"160","P0067","completed_refined","70","50","The Bright Side of Supplier Encroachment","","","博弈论/理论模型","Classic","","[local PDF path not bundled; paper_id=P0067]"
"161","P1024","skipped_scope","70","60","What makes PhD students happy? Good supervision","Nature","2025","综述/概念","Management Science","","[local PDF path not bundled; paper_id=P1024]"
"162","P1376","completed_refined","70","70","A Study of Cartel Stability: The Joint Economic Committee","The Bell Journal of Economics","1982","混合方法","IO","","[local PDF path not bundled; paper_id=P1376]"
"163","P1400","completed_refined","70","50","The Iron Cage Revisited: Institutional Isomorphism and Collective Rationality in Organizational Fields","American Sociological Review","1983","博弈论/理论模型","Coercive Isomorphism","","[local PDF path not bundled; paper_id=P1400]"
"164","P1559","completed_refined","70","70","Entry and Competition in Concentrated Markets","Journal of Political Economy","1991","混合方法","IO","","[local PDF path not bundled; paper_id=P1559]"
"165","P1567","completed_refined","70","70","The Evolution of Brand Preferences: Evidence from Consumer Migration","The American Economic Review","2012","混合方法","IO","","[local PDF path not bundled; paper_id=P1567]"
"166","P1383","completed_refined","66","58","中国企业制度逻辑本土化研究展望：以中国风险投资行业公私互动为例","管理学季刊","2023","暂无法判断","Logic","","[local PDF path not bundled; paper_id=P1383]"
"167","P1462","completed_refined","66","58","制度逻辑理论与中国实践：对创业研究的启示","管理学季刊","2023","暂无法判断","Logic","","[local PDF path not bundled; paper_id=P1462]"
"168","P1317","completed_refined","62","50","医院生产函数与需求函数的估计","","","实证","Economics","","[local PDF path not bundled; paper_id=P1317]"
"169","P1522","completed_refined","62","50","Corporate Venture Capital, Value Creation, and Innovation","Review of Financial Studies","2014","实证","CVC Investment Logic","","[local PDF path not bundled; paper_id=P1522]"
"170","P1660","completed_refined","62","50","Digital Distractions with Peer Influence: The Impact of Mobile App Usage on Academic and Labor Market Outcomes","","","实证","Economics","","[local PDF path not bundled; paper_id=P1660]"
"171","P1472","completed_refined","60","55","Institutional logics and social enterprises: Entry mode choices of foreign hospitals in China","Journal of World Business","2020","混合方法","Logic","","[local PDF path not bundled; paper_id=P1472]"
"172","P1477","completed_refined","58","54","中国特色社会主义市场经济:有为政府+有效市场","经济研究","2019","综述/概念","Logic","","[local PDF path not bundled; paper_id=P1477]"
"173","P0041","completed_refined","56","53","Constant Job-Allowance Policies for Appointment Scheduling: Asymptotic Optimality and Numerical Analysis","SSRN Electronic Journal","2018","算法/优化/运筹模型","Model","","[local PDF path not bundled; paper_id=P0041]"
"174","P1505","completed_refined","56","53","Corporate venture capital as a real option in the markets for technology","Strategic Management Journal","2018","混合方法","CVC Investment Logic","","[local PDF path not bundled; paper_id=P1505]"
"175","P0033","completed_refined","54","52","Managing Appointment-Based Services in the Presence of Walk-In Customers","SSRN Electronic Journal","2017","算法/优化/运筹模型","Model","","[local PDF path not bundled; paper_id=P0033]"
"176","P0962","completed_refined","52","40","Automobile Prices in Market Equilibrium","Econometrica","1995","实证","","DUP010","[local PDF path not bundled; paper_id=P0962]"
"177","P0055","completed_refined","50","50","A Nonparametric Asymptotic Analysis of Inventory Planning with Censored Demand","","","算法/优化/运筹模型","Classic","","[local PDF path not bundled; paper_id=P0055]"
"178","P0137","completed_refined","50","50","A Cluster-Based Context-Tree Model for Multivariate Data Streams with Applications to Anomaly Detection","INFORMS Journal on Computing","2011","综述/概念","Algorithm","","[local PDF path not bundled; paper_id=P0137]"
"179","P1397","deferred","50","50","Institutional Logics","","2008","混合方法","Logic","","[local PDF path not bundled; paper_id=P1397]"
"180","P1484","completed_refined","50","50","Propensity Score-Matching Methods for Nonexperimental Causal Studies","Review of Economics and Statistics","2002","混合方法","Reference","","[local PDF path not bundled; paper_id=P1484]"
"181","P1496","skipped_scope","50","50","Corporate Venture Capital (CVC) Seeking Innovation and Strategic Growth: Recent Patterns in CVC Mission, Structure and Investment","","2008","综述/概念","CVC Investment Logic","","[local PDF path not bundled; paper_id=P1496]"
"182","P1555","completed_refined","50","50","随机需求下基于库存责任期的装配系统准时供货模型","系统工程理论与实践","2013","算法/优化/运筹模型","Model","","[local PDF path not bundled; paper_id=P1555]"
"183","P0086","deferred","44","37","因果推断经验研究中的中介效应与调节效应","中国工业经济","2022","暂无法判断","Methods","","[local PDF path not bundled; paper_id=P0086]"
"184","P0330","deferred","30","30","The Economy of Instituted Process","","","暂无法判断","Economics","","[local PDF path not bundled; paper_id=P0330]"
"185","P1398","deferred","30","30","The new institutionalism in organizational analysis","","2010","暂无法判断","Logic","","[local PDF path not bundled; paper_id=P1398]"
